"Entity","Business Entities","Products","Data Flow","Scan Findings","Data Element","Sensitivity","Language","File Path","Field Name","Location","Source URL","Database Name","Database Instance Name","Table and Column Name","Operation Type","Operation","API Endpoint","API Field Names","Confidence"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","Age","","","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.1.content","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","Age","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.0.content","Very Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","DriverID","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.1.content","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","DriverID","High","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.1.content","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","DriverID","High","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.0.content","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","DriverID","High","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml]","email_content.0.content","Possible"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","EmailAddress","High","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml].[s3_unstructured_object_record.property]","email_subject","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml].[s3_unstructured_object_record.property]","email_date","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml].[s3_unstructured_object_record.property]","email_recipient","Likely"
"Amazon S3","","","","test_connection: denisolt-test-bucket/a/b/sample.eml","EmailAddress","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.eml].[s3_unstructured_object_record.property]","email_content.1.content","Likely"
