"Entity","Business Entities","Products","Data Flow","Scan Findings","Data Element","Sensitivity","Language","File Path","Field Name","Location","Source URL","Database Name","Database Instance Name","Table and Column Name","Operation Type","Operation","API Endpoint","API Field Names","Confidence"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.0.recipient_email","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_subject","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.1.recipient_name","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_date","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.1.recipient_email","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_sender","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg].[s3_unstructured_object_record.property]","email_recipients.0.recipient_name","Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.0.recipient_email","Very Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_recipients.1.recipient_email","Very Likely"
"Amazon S3","","","","28_03_25 S3 Invent Connection No Filter: denisolt-test-bucket/a/b/sample.msg","Email Address","","REST API","","","","","","","","","","Api_Response ID: [s3_unstructured_object_bucket=denisolt-test-bucket].[s3_unstructured_object=a/b/sample.msg]","email_sender","Very Likely"
